Player,Draft pick,Height (No Shoes),Wingspan,Standing reach,Vertical (Max),Weight,Body Fat,Hand (Width),Bench,Agility,Sprint
Jerome Jordan,44.0,83.5,89.25,113.0,,244.0,6.9,10.25,,,
Damyean Dotson,44.0,76.5,81.0,100.0,38.0,205.0,5.3,9.25,,11.18,3.13
Charles Jenkins,44.0,73.5,79.5,96.5,34.0,216.0,4.3,9.0,16.0,11.68,3.18
Dillon Brooks,45.0,77.0,78.0,100.5,37.5,220.0,7.5,9.25,,11.14,3.21
Dwight Powell,45.0,81.5,84.5,105.0,35.0,234.0,6.2,9.25,,11.28,3.2
Demetrius Jackson,45.0,72.0,77.5,93.0,43.5,194.0,6.5,9.0,,10.81,3.25
Marcus Thornton,45.0,73.75,79.75,97.5,43.0,177.0,5.3,8.5,3.0,10.96,3.02
Gani Lawal,46.0,79.75,84.0,106.0,34.5,229.0,7.2,10.0,17.0,11.93,3.34
Danny Green,46.0,77.25,82.0,103.0,33.0,208.0,5.6,,15.0,11.3,3.3
Norman Powell,46.0,75.0,82.75,102.5,40.5,215.0,6.4,9.0,5.0,10.76,3.2
Erick Green,46.0,73.5,77.75,98.0,,178.0,4.4,9.0,5.0,,
Andrew Goudelock,46.0,73.25,76.25,96.5,37.0,198.0,9.9,9.25,4.0,10.33,3.1
Darius Miller,46.0,78.0,81.0,101.0,37.0,233.0,7.5,8.75,14.0,11.34,3.31
Jordan Clarkson,46.0,75.25,80.0,98.0,38.5,186.0,4.3,9.0,,10.76,3.28
Russ Smith,47.0,71.5,75.5,95.0,34.0,160.0,3.5,8.5,,11.57,3.27
Travis Leslie,47.0,75.0,82.5,103.0,40.5,205.0,8.1,9.25,10.0,11.0,3.13
Jake Layman,47.0,80.0,81.25,102.0,39.5,209.0,7.1,9.25,,11.35,3.24
Ike Anigbogu,47.0,80.5,90.25,110.5,32.5,252.0,5.4,10.0,,12.52,3.44
Kevin Murphy,47.0,77.0,78.75,99.0,36.5,194.0,5.8,8.5,11.0,10.97,3.42
Tiny Gallon,47.0,80.5,88.5,109.5,28.5,302.0,15.1,10.5,14.0,13.44,3.7
Sindarius Thornwell,48.0,75.5,82.0,103.0,30.5,212.0,7.8,8.75,,11.48,3.36
Keith Benson,48.0,82.0,87.75,109.5,36.0,217.0,6.1,11.0,12.0,11.88,3.35
Ryan Kelly,48.0,81.75,83.5,110.0,,228.0,14.8,10.0,,,
Lamar Patterson,48.0,76.0,83.0,101.0,32.5,226.0,10.8,9.25,,11.63,3.45
Dakari Johnson,48.0,83.0,86.0,112.0,25.0,265.0,14.9,10.5,4.0,11.5,3.62
Michael Gbinije,49.0,77.5,79.5,101.0,37.5,205.0,5.4,9.0,,11.0,3.12
Josh Selby,49.0,73.75,77.25,98.0,42.0,195.0,7.9,9.0,5.0,11.13,3.2
Aaron White,49.0,79.75,83.5,106.5,35.0,220.0,8.0,9.25,7.0,11.62,3.38
Cameron Bairstow,49.0,80.75,84.75,107.0,33.5,252.0,8.7,9.0,,11.39,3.37
Kyle O'Quinn,49.0,80.5,88.75,106.5,31.5,241.0,8.0,10.0,,11.65,3.53
Ryan Richards,49.0,82.5,85.5,110.0,28.5,230.0,8.0,9.75,4.0,11.33,3.37
Erik Murphy,49.0,80.75,82.5,108.0,29.5,240.0,8.0,9.75,13.0,12.19,3.57
James Ennis,50.0,77.75,83.5,104.5,36.5,201.0,4.5,8.75,7.0,11.55,3.4
Georges Niang,50.0,78.75,82.0,103.0,31.0,231.0,10.1,9.25,,11.64,3.49
Alec Brown,50.0,84.25,85.5,109.0,30.0,231.0,7.7,8.75,,12.05,3.48
Solomon Alabi,50.0,83.5,89.0,113.0,26.0,237.0,5.0,9.25,10.0,13.2,3.68
Monte Morris,51.0,73.25,76.0,96.5,33.5,175.0,6.9,8.75,,11.0,3.19
Kris Joseph,51.0,78.0,83.0,104.0,35.0,215.0,8.6,9.0,6.0,,3.46
Ben Bentil,51.0,79.25,85.5,105.0,33.0,229.0,9.7,10.0,,11.16,3.3
Jack McClinton,51.0,71.75,74.5,96.0,36.5,185.0,6.2,,13.0,10.44,3.21
